date,cash,market_value,equity,daily_return,cumulative_return,benchmark_close,benchmark_equity,benchmark_return,excess_return,drawdown,stale_marks,stale_ratio
2026-08-21,20000.0,0.0,20000.0,0.0,0.0,104.65,20000.0,0.0,0.0,0.0,,
2026-08-24,20000.0,0.0,20000.0,0.0,0.0,104.0,19875.78,-0.006211,0.006211,0.0,,
2026-08-25,20000.0,0.0,20000.0,0.0,0.0,104.4,19952.22,-0.002389,0.002389,0.0,,
2026-08-26,20000.0,0.0,20000.0,0.0,0.0,105.9,20238.89,0.011945,-0.011945,0.0,,
2026-08-27,20000.0,0.0,20000.0,0.0,0.0,106.05,20267.56,0.013378,-0.013378,0.0,,
2026-09-03,20000.0,0.0,20000.0,0.0,0.0,106.2,20296.23,0.014811,-0.014811,0.0,,
2026-09-04,20000.0,0.0,20000.0,0.0,0.0,107.9,20621.12,0.031056,-0.031056,0.0,,
2026-09-07,20000.0,0.0,20000.0,0.0,0.0,109.9,21003.34,0.050167,-0.050167,0.0,,
2026-09-08,20000.0,0.0,20000.0,0.0,0.0,109.85,20993.79,0.049689,-0.049689,0.0,,
2026-09-09,20000.0,0.0,20000.0,0.0,0.0,109.65,20955.57,0.047778,-0.047778,0.0,,
2026-09-10,20000.0,0.0,20000.0,0.0,0.0,109.15,20860.01,0.043,-0.043,0.0,0.0,0.0
2026-09-11,20000.0,0.0,20000.0,0.0,0.0,107.7,20582.9,0.029145,-0.029145,0.0,0.0,0.0
2026-09-14,20000.0,0.0,20000.0,0.0,0.0,106.9,20430.0,0.0215,-0.0215,0.0,0.0,0.0
2026-09-15,20000.0,0.0,20000.0,0.0,0.0,106.25,20305.78,0.015289,-0.015289,0.0,0.0,0.0
